writer_id,primaryName,birthYear,deathYear,knownForTitles
nm0001302,Christopher Guest,1948,\N,tt0088258
nm0001304,Fred Gwynne,1926,1993,tt0104952
nm0001317,Renny Harlin,1959,\N,tt0149261
nm0001324,Ian Hart,1964,\N,tt0117039
nm0001327,David Hasselhoff,1952,\N,tt1714203
nm0001328,Howard Hawks,1896,1977,tt0053221
nm0001330,Sterling Hayden,1916,1986,tt0068646
nm0001331,Todd Haynes,1961,\N,tt0368794
nm0001338,Brian Helgeland,1961,\N,tt0328107
nm0001345,Jim Henson,1936,1990,tt0079588
nm0001348,Werner Herzog,1942,\N,tt0427312
nm0001350,Benny Hill,1924,1992,tt0062803
nm0001351,George Roy Hill,1921,2002,tt0070735
nm0001353,Walter Hill,1942,\N,tt0083511
nm0001355,Michael Hoffman,1956,\N,tt0117247
nm0001357,Paul Hogan,1939,\N,tt0092493
nm0001358,Hal Holbrook,1925,\N,tt0080749
nm0001361,Tobe Hooper,1943,2017,tt0072271
nm0001363,Jane Horrocks,1964,\N,tt0100944
nm0001372,Bonnie Hunt,1961,\N,tt0120689
nm0001379,John Huston,1906,1987,tt0043265
nm0001382,Peter Hyams,1943,\N,tt0146675
nm0001383,David Hyde Pierce,1959,\N,tt0120623
nm0001385,Eric Idle,1943,\N,tt0071853
nm0001392,Peter Jackson,1961,\N,tt0167260
nm0001402,Terry Jones,1942,\N,tt0085959
nm0001403,Neil Jordan,1950,\N,tt0104036
nm0001410,Lawrence Kasdan,1949,\N,tt0111756
nm0001411,William Katt,1951,\N,tt0074285
nm0001412,Andy Kaufman,1949,1984,tt0125664
nm0001415,Elia Kazan,1909,2003,tt0048028
nm0001423,Richard Kiel,1939,2014,tt0116483
nm0001425,Krzysztof Kieslowski,1941,1996,tt0111495
nm0001427,Greg Kinnear,1963,\N,tt0449059
nm0001428,Klaus Kinski,1926,1991,tt0059578
nm0001429,Takeshi Kitano,1947,\N,tt0363226
nm0001430,Jack Klugman,1922,2012,tt0050083
nm0001433,Yaphet Kotto,1939,\N,tt0070328
nm0001435,Lisa Kudrow,1963,\N,tt0120032
nm0001437,Emir Kusturica,1954,\N,tt0118843
nm0001438,Neil LaBute,1963,\N,tt0171580
nm0001439,Anthony LaPaglia,1959,\N,tt0112950
nm0001452,Charles Laughton,1899,1962,tt0051201
nm0001454,Martin Lawrence,1965,\N,tt0112442
nm0001459,Denis Leary,1957,\N,tt0155267
nm0001465,Elmore Leonard,1925,2013,tt0119396
nm0001466,Sergio Leone,1929,1989,tt0087843
nm0001468,David Letterman,1947,\N,tt0119951
nm0001469,Barry Levinson,1942,\N,tt0095953
nm0001471,Jerry Lewis,1926,2017,tt0085794
nm0001484,Jon Lovitz,1957,\N,tt0107659
nm0001486,Sidney Lumet,1924,2011,tt0074958
nm0001487,John Lynch,1961,\N,tt1181791
nm0001490,Adrian Lyne,1941,\N,tt0099871
nm0001501,Louis Malle,1932,1995,tt0092593
nm0001502,Luis Mandoki,1954,\N,tt0139462
nm0001507,Cheech Marin,1946,\N,tt0078446
nm0001515,Joseph Mazzello,1983,\N,tt1583421
nm0001517,Catherine McCormack,1972,\N,tt0266987
nm0001518,Dylan McDermott,1961,\N,tt2302755
nm0001527,Elizabeth McGovern,1961,\N,tt0087843
nm0001530,William McNamara,1965,\N,tt0112722
nm0001532,John McTiernan,1951,\N,tt0107362
nm0001542,Jay Mohr,1970,\N,tt0421073
nm0001548,Rick Moranis,1953,\N,tt0091419
nm0001552,Pat Morita,1932,2005,tt0091326
nm0001555,Rob Morrow,1962,\N,tt0110932
nm0001562,Kathy Najimy,1957,\N,tt0105417
nm0001570,Edward Norton,1969,\N,tt0117381
nm0001573,Catherine O'Hara,1954,\N,tt1142977
nm0001578,Annette O'Toole,1952,\N,tt0279600
nm0001587,Alan J. Pakula,1928,1998,tt0084707
nm0001589,Michael Palin,1943,\N,tt0095159
nm0001590,Chazz Palminteri,1952,\N,tt3569230
nm0001592,Joe Pantoliano,1951,\N,tt0172156
nm0001596,Pier Paolo Pasolini,1922,1975,tt0050783
nm0001603,Sam Peckinpah,1925,1984,tt0065214
nm0001612,Matthew Perry,1969,\N,tt0190138
nm0001614,Lori Petty,1963,\N,tt0102685
