title_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0440963,movie,The Bourne Ultimatum,The Bourne Ultimatum,0,2007,\N,115,Action;Mystery;Thriller,8.0,570806
tt0405159,movie,Million Dollar Baby,Million Dollar Baby,0,2004,\N,132,Drama;Sport,8.1,569582
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,\N,96,Crime;Drama,8.9,565621
tt1951264,movie,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,0,2013,\N,146,Action;Adventure;Mystery,7.5,561271
tt0418279,movie,Transformers,Transformers,0,2007,\N,144,Action;Adventure;Sci-Fi,7.1,558633
tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,\N,134,Biography;Drama;History,8.1,555239
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,Action;Adventure;Fantasy,6.6,554353
tt0457430,movie,Pan's Labyrinth,El laberinto del fauno,0,2006,\N,118,Drama;Fantasy;War,8.2,554065
tt0382932,movie,Ratatouille,Ratatouille,0,2007,\N,111,Adventure;Animation;Comedy,8.0,554044
tt1285016,movie,The Social Network,The Social Network,0,2010,\N,120,Biography;Drama,7.7,553756
tt2975590,movie,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,0,2016,\N,151,Action;Adventure;Fantasy,6.5,551759
tt1170358,movie,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,0,2013,\N,161,Adventure;Fantasy,7.8,551585
tt0796366,movie,Star Trek,Star Trek,0,2009,\N,127,Action;Adventure;Sci-Fi,8.0,549103
tt0241527,movie,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,0,2001,\N,152,Adventure;Family;Fantasy,7.6,543585
tt0116282,movie,Fargo,Fargo,0,1996,\N,98,Crime;Drama;Thriller,8.1,542762
tt0449088,movie,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,0,2007,\N,169,Action;Adventure;Fantasy,7.1,541808
tt0126029,movie,Shrek,Shrek,0,2001,\N,90,Adventure;Animation;Comedy,7.9,539717
tt0816711,movie,World War Z,World War Z,0,2013,\N,116,Action;Adventure;Horror,7.0,536906
tt1670345,movie,Now You See Me,Now You See Me,0,2013,\N,115,Crime;Mystery;Thriller,7.3,536053
tt0988045,movie,Sherlock Holmes,Sherlock Holmes,0,2009,\N,128,Action;Adventure;Crime,7.6,535796
tt3498820,movie,Captain America: Civil War,Captain America: Civil War,0,2016,\N,147,Action;Adventure;Sci-Fi,7.8,531626
tt4574334,tvSeries,Stranger Things,Stranger Things,0,2016,\N,51,Drama;Fantasy;Horror,8.9,531198
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,\N,125,Adventure;Animation;Family,8.6,530675
tt0114746,movie,Twelve Monkeys,Twelve Monkeys,0,1995,\N,129,Mystery;Sci-Fi;Thriller,8.0,529686
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,\N,147,Drama;War,8.5,528702
tt0936501,movie,Taken,Taken,0,2008,\N,93,Action;Crime;Thriller,7.8,528617
tt1446714,movie,Prometheus,Prometheus,0,2012,\N,124,Adventure;Mystery;Sci-Fi,7.0,527267
tt0118799,movie,Life Is Beautiful,La vita è bella,0,1997,\N,116,Comedy;Drama;Romance,8.6,527200
tt1631867,movie,Edge of Tomorrow,Edge of Tomorrow,0,2014,\N,113,Action;Sci-Fi,7.9,526592
tt0381061,movie,Casino Royale,Casino Royale,0,2006,\N,144,Action;Adventure;Thriller,8.0,526341
tt1637725,movie,Ted,Ted,0,2012,\N,106,Comedy;Fantasy;Romance,6.9,525878
tt0107048,movie,Groundhog Day,Groundhog Day,0,1993,\N,101,Comedy;Fantasy;Romance,8.0,524157
tt0421715,movie,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,0,2008,\N,166,Drama;Fantasy;Romance,7.8,524049
tt2802144,movie,Kingsman: The Secret Service,Kingsman: The Secret Service,0,2014,\N,129,Action;Adventure;Comedy,7.7,523870
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,\N,149,Action;Adventure;Fantasy,8.5,523470
tt0460649,tvSeries,How I Met Your Mother,How I Met Your Mother,0,2005,2014,22,Comedy;Romance,8.3,521587
