director_id,primaryName,birthYear,deathYear,knownForTitles
nm0001526,Patrick McGoohan,1928,2009,tt0112573
nm0001528,Don McKellar,1963,\N,tt0120802
nm0001532,John McTiernan,1951,\N,tt0107362
nm0001536,Toshirô Mifune,1920,1997,tt0055630
nm0001537,Ray Milland,1907,1986,tt0046912
nm0001538,Jonny Lee Miller,1972,\N,tt0219653
nm0001544,Ricardo Montalban,1920,2009,tt0338459
nm0001555,Rob Morrow,1962,\N,tt0110932
nm0001556,David Morse,1953,\N,tt0816711
nm0001564,Bebe Neuwirth,1958,\N,tt0113497
nm0001565,Mike Newell,1942,\N,tt0119008
nm0001566,Mike Nichols,1931,2014,tt0376541
nm0001572,Danny Nucci,1968,\N,tt0106246
nm0001574,Michael O'Keefe,1955,\N,tt0465538
nm0001579,Edward James Olmos,1947,\N,tt0083658
nm0001587,Alan J. Pakula,1928,1998,tt0084707
nm0001588,Jack Palance,1919,2006,tt0098439
nm0001594,Anne Parillaud,1960,\N,tt0100263
nm0001596,Pier Paolo Pasolini,1922,1975,tt0050783
nm0001601,David Paymer,1954,\N,tt0113161
nm0001602,Guy Pearce,1967,\N,tt1592525
nm0001603,Sam Peckinpah,1925,1984,tt0065214
nm0001606,Chris Penn,1965,2006,tt0087277
nm0001609,Rosie Perez,1964,\N,tt0105812
nm0001615,Elizabeth Peña,1959,2014,tt0099871
nm0001617,Lou Diamond Phillips,1962,\N,tt2006295
nm0001627,Sidney Poitier,1927,\N,tt0061735
nm0001628,Sydney Pollack,1934,2008,tt0084805
nm0001639,Alex Proyas,1963,\N,tt0343818
nm0001641,Vincent Perez,1964,\N,tt0238546
nm0001644,Aidan Quinn,1959,\N,tt0120791
nm0001646,Ted Raimi,1965,\N,tt0805570
nm0001650,Michael Rapaport,1970,\N,tt0108399
nm0001652,John Ratzenberger,1947,\N,tt0114709
nm0001660,George Reeves,1914,1959,tt0031381
nm0001675,Robert Rodriguez,1968,\N,tt0287717
nm0001676,Nicolas Roeg,1928,\N,tt0069995
nm0001681,George A. Romero,1940,2017,tt0848557
nm0001692,Ken Russell,1927,2011,tt0080360
nm0001699,Telly Savalas,1922,1994,tt0064757
nm0001701,Devon Sawa,1978,\N,tt0112642
nm0001703,Maximilian Schell,1930,2014,tt0120877
nm0001707,Paul Schrader,1946,\N,tt0081398
nm0001708,Joel Schumacher,1939,\N,tt0293508
nm0001709,Til Schweiger,1963,\N,tt0361748
nm0001710,David Schwimmer,1966,\N,tt0120828
nm0001714,Campbell Scott,1961,\N,tt0404032
nm0001715,George C. Scott,1927,1999,tt0066206
nm0001716,Tony Scott,1944,2012,tt0108399
nm0001717,Kyle Secor,1957,\N,tt0102945
nm0001720,Ivan Sergei,1971,\N,tt0452594
nm0001721,Chloë Sevigny,1974,\N,tt0171804
nm0001723,Tom Shadyac,1958,\N,tt0109040
nm0001726,Helen Shaver,1951,\N,tt0078767
nm0001729,Craig Sheffer,1960,\N,tt0105265
nm0001735,Talia Shire,1946,\N,tt0075148
nm0001741,Bryan Singer,1965,\N,tt1877832
nm0001747,Charles Martin Smith,1953,\N,tt0069704
nm0001752,Steven Soderbergh,1963,\N,tt0181865
nm0001754,Todd Solondz,1959,\N,tt0114906
nm0001756,Barry Sonnenfeld,1953,\N,tt0120912
nm0001757,Kevin Sorbo,1958,\N,tt2528814
nm0001759,Vincent Spano,1962,\N,tt0106246
nm0001770,Fisher Stevens,1963,\N,tt0108255
nm0001771,Stella Stevens,1938,\N,tt0069113
nm0001772,Patrick Stewart,1940,\N,tt0120903
nm0001773,David Ogden Stiers,1942,2018,tt0275847
nm0001774,Ben Stiller,1965,\N,tt1608290
nm0001777,Dean Stockwell,1936,\N,tt0087182
nm0001781,Julie Strain,1962,\N,tt0110622
nm0001789,Andrei Tarkovsky,1932,1986,tt0060107
nm0001795,Jonathan Taylor Thomas,1981,\N,tt0110357
nm0001796,Richard Thomas,1951,\N,tt0099864
nm0001798,Kevin Tighe,1944,\N,tt0098206
nm0001800,Rip Torn,1931,\N,tt0364725
nm0001804,Stanley Tucci,1960,\N,tt1951264
nm0001806,John Turturro,1957,\N,tt0101410
nm0001811,Peter Ustinov,1921,2004,tt0074812
nm0001814,Gus Van Sant,1952,\N,tt0097240
nm0001816,Robert Vaughn,1932,2016,tt0062765
nm0001828,Melora Walters,1960,\N,tt0118749
nm0001832,Sam Waterston,1940,\N,tt0098844
nm0001835,Carl Weathers,1948,\N,tt0089927
nm0001837,Peter Weir,1944,\N,tt0311113
nm0001841,George Wendt,1948,\N,tt0083399
nm0001842,Adam West,1928,2017,tt0060153
nm0001843,James Whale,1889,1957,tt0021884
nm0001844,Frank Whaley,1963,\N,tt0101761
nm0001845,Forest Whitaker,1961,\N,tt1327773
nm0001852,Treat Williams,1951,\N,tt0078723
nm0001864,Noah Wyle,1971,\N,tt0104257
nm0001866,Bolo Yeung,1946,\N,tt0092675
nm0001873,Steven Zaillian,1953,\N,tt1568346
nm0001878,David Zucker,1947,\N,tt0088286
nm0001879,Daphne Zuniga,1962,\N,tt0094012
nm0001880,Edward Zwick,1952,\N,tt0115956
nm0001884,Max von Sydow,1929,\N,tt0050976
nm0001885,Lars von Trier,1956,\N,tt0168629
nm0001887,Paul Brickman,1949,\N,tt0086200
nm0001894,Danny Dayton,1923,1999,tt0109707
nm0001904,Corey Allen,1934,2010,tt0048545
nm0001914,Adam Ant,1954,\N,tt0483607
nm0001915,Emile Ardolino,1943,1993,tt0092890
nm0001949,Andrew Birkin,1945,\N,tt0396171
nm0001963,Jesse Borrego,1962,\N,tt0118880
nm0001970,Klaus Maria Brandauer,1943,\N,tt0089755
nm0001974,Blair Brown,1946,\N,tt0138304
nm0001987,Tantoo Cardinal,1950,\N,tt5362988
nm0001988,Marc Caro,1956,\N,tt0101700
nm0001990,Elpidia Carrillo,1961,\N,tt0093773
nm0001994,Michael Caton-Jones,1957,\N,tt0430912
nm0002011,Lee J. Cobb,1911,1976,tt0050083
nm0002016,William Conrad,1920,1994,tt0102070
