actor_id,primaryName,birthYear,deathYear,knownForTitles
nm0912309,Lance Warlock,1968,\N,tt4708624
nm0920246,Jake Wells,\N,\N,tt1302006
nm0920530,Christina Welsh,\N,\N,tt9086910
nm0927014,Dylan Wickware,\N,\N,tt5306938
nm0931798,Thom Williams,1973,\N,tt8416494
nm0932194,Roger Willie,1964,\N,tt6086316
nm0932369,Katherine Willis,1971,\N,tt7177890
nm0932842,Gary Wilmot,1954,\N,tt8176462
nm0933177,Chris Wilson,\N,\N,tt5928390
nm0934428,Andreas Wimberger,1959,\N,tt9097694
nm0937821,Catherine Wolf,\N,\N,tt7187044
nm0940242,McManus Woodend,\N,\N,tt6146586
nm0940373,Allen Woodman,\N,\N,tt8493804
nm0941407,Todd William Worden,\N,\N,tt7238954
nm0943066,Carlos Wu,\N,\N,tt7853636
nm0943104,Jing Wu,1974,\N,tt8032814
nm0943233,Rob Wuesthoff,\N,\N,tt1303678
nm0943954,Darlene Wynn,\N,\N,tt9039140
nm0945206,Henry Yamada,\N,\N,tt9098754
nm0946580,Norito Yashima,1970,\N,tt8493238
nm0948580,Jay Yoo,\N,\N,tt1190634
nm0955995,Tom Zickler,1964,\N,tt8157074
nm0957122,Malika Ziouech,\N,\N,tt9159092
nm0961550,Gerda Pikali,1978,\N,tt3566610
nm0962938,Charlie Gruet,\N,\N,tt8310612
nm0967546,Michael Rapp,\N,\N,tt9163520
nm0971409,Kelli Crawford,\N,\N,tt6528488
nm0971890,Chris Henderson,\N,\N,tt8788462
nm0973354,Laurence Kennedy,\N,\N,tt4521338
nm0990600,Robert Gillings,\N,\N,tt6459958
nm0996437,Graham Barnfield,1969,\N,tt7931814
nm0998822,Michael Birkeland,\N,\N,tt3145630
nm0999187,Robert Crooks,\N,\N,tt6924650
nm10001607,Faizel Janmohamed,\N,\N,tt8880116
nm10001659,Mike S. Reid,\N,\N,tt8880116
nm10001809,William McGuire,\N,\N,tt8524160
nm10001940,Nathan Reyes,\N,\N,tt0870154
nm10002128,Gloria Jumi,\N,\N,tt7267530
nm10002229,Rose Maria Wilde,\N,\N,tt8773252
nm10002257,Connor Capalby,\N,\N,tt9093674
nm10002293,Jade Hambaro,\N,\N,tt8747126
nm10002302,Brian Nathan,\N,\N,tt7721800
nm10002907,Astrid Kiss,\N,\N,tt8747696
nm10002909,Gabriela Garcia Vargas,\N,\N,tt8747696
nm10002910,Martin Max,\N,\N,tt8747696
nm10003182,Ashley Deuell,\N,\N,tt8319290
nm10003558,Diane Schooler,\N,\N,tt8749132
nm10003679,Vic Zander,\N,\N,tt8747798
nm10003899,Dani Renee,\N,\N,tt8750320
nm10004101,Anthony Ferrara,\N,\N,tt8822758
nm10004107,Kyle Kelly,\N,\N,tt8822758
nm10005451,Christiano Sanchez,\N,\N,tt8742482
nm10005705,Harry Gill,\N,\N,tt8747798
nm10005738,Spencer Kingsley,\N,\N,tt8743422
nm10008157,Taylor Martin,\N,\N,tt9089450
nm10009205,Michael Ahfong,\N,\N,tt8316568
nm10009208,Mihaela Muhtarova,\N,\N,tt7715070
nm10009529,Bryan James Anthony,\N,\N,tt9084926
nm1001035,Anja Herden,1970,\N,tt6593706
nm10010394,Deaton Gabbard,\N,\N,tt8404680
nm10010459,John V. Quigley,\N,\N,tt7711350
nm10010469,Taidge Mathieu,\N,\N,tt8880868
nm10010548,Dacia Washington,\N,\N,tt9230266
nm10011043,Chevelle Hallback,\N,\N,tt8407816
nm10011055,Mike Rusnak,\N,\N,tt8407816
nm10011056,Hunter Dial,\N,\N,tt8407816
nm10011389,Beth McConnell,\N,\N,tt4777008
nm10011817,Duygu Koseoglu,\N,\N,tt8113684
nm10011902,Alexandra Drozdova,\N,\N,tt8028628
nm10012840,Mimi Balek,\N,\N,tt8191334
nm10012843,Gary Ranks,\N,\N,tt8191334
nm10012844,Tonya Charles,\N,\N,tt8191334
nm10012845,Jamie Charles,\N,\N,tt8191334
nm10012910,Anya Stevens,\N,\N,tt8742530
nm10014090,Scott Barker,\N,\N,tt9029478
nm10014563,J. Hammond,\N,\N,tt8743422
nm10015484,Courtney Villeneuve,\N,\N,tt8880116
nm10015486,Gaby Phaneuf,\N,\N,tt8880116
nm10015720,Michael Sebastian,\N,\N,tt5876688
nm10015768,Nia Collins Davenport,\N,\N,tt8726540
nm10015770,Earl Grant,\N,\N,tt8726540
nm10015771,Sha'Nya Harris,\N,\N,tt8726540
nm10015881,Dylan Thai,\N,\N,tt8774202
nm10015936,Robert Michael Grant,\N,\N,tt7204666
nm1001625,Renji Panicker,\N,\N,tt8489900
nm10019902,Laura Bergeron,\N,\N,tt7177890
nm10020435,Lyndsey Kincer,\N,\N,tt9089556
nm10020521,Quentin Malicoat,\N,\N,tt8816914
nm10020586,Gavrielle Anne Fontanilla,\N,\N,tt0870154
nm10020683,Luca Crothers,\N,\N,tt8785170
nm10020720,Kathy Harmer,\N,\N,tt5871388
nm10020835,Michelle Nali,\N,\N,tt8406660
nm10020964,Raphael Umandal,\N,\N,tt7204666
nm10021635,Abs Abulfaraj,\N,\N,tt7798644
nm10022206,Abraham Kyle IV,\N,\N,tt0870154
nm10022413,Tessa John-Connor,\N,\N,tt1302006
nm10022514,Howard Hart,\N,\N,tt9184126
nm10022856,Anabelle Holloway,\N,\N,tt7177890
nm10023022,Shacolby Shentell,\N,\N,tt9256090
nm10023312,Pablo Quintero,\N,\N,tt7798644
nm10024248,Jeff Weber,\N,\N,tt8774100
nm10024787,Daniel Phelan,\N,\N,tt7204666
nm10024790,Leah Fudim,\N,\N,tt7204666
nm10024803,Claudia Rocha,\N,\N,tt8793206
nm10024976,Julia Varadi,\N,\N,tt7926574
nm10025798,Daniel Harris,\N,\N,tt8825110
nm10026046,Shelley Krasnowski,\N,\N,tt4183748
nm10026817,Lorin Nickle,\N,\N,tt7223138
nm10026818,Justin Truitt,\N,\N,tt7223138
nm10026819,Ray Seddon,\N,\N,tt7223138
nm10026820,Aj Betterelli,\N,\N,tt7223138
nm10026821,Justin Sharkey,\N,\N,tt7223138
nm10027482,Sharon Reitkerk,\N,\N,tt8319294
nm10027831,Ryan Yates,\N,\N,tt8194186
nm10027974,Arizona Olave,\N,\N,tt8493804
nm10028279,Krisztián Szabó,\N,\N,tt8801274
nm10028280,Diána Winter,\N,\N,tt8801274
nm10028281,Zoltán Varga,\N,\N,tt8801274
nm10028282,József Káliz Sajtos,\N,\N,tt8801274
nm10028283,Alexandra Tóth,\N,\N,tt8801274
nm10028284,Endre Koncsol,\N,\N,tt8801274
nm10028285,Dániel Vízer,\N,\N,tt8801274
nm10028286,Edit Novák,\N,\N,tt8801274
nm10028803,Willem Bivers,\N,\N,tt8948208
nm10028849,Osa Grekov,\N,\N,tt8750320
nm1002929,Alec Westwood,\N,\N,tt6107796
nm10029685,Desean Stamps,\N,\N,tt3506590
nm10029705,Iesha Moore,\N,\N,tt3506590
nm10030435,Mathilde Berger,\N,\N,tt8811474
nm10030504,Madeleine Hernandez Kang,\N,\N,tt9249848
nm10030653,Kevin Klosz,\N,\N,tt8171000
nm10030720,Nana Mori,\N,\N,tt8809750
nm10030811,Alexandria Glotfelty,\N,\N,tt9242722
nm10032366,Johanna Chunn,\N,\N,tt6923892
nm10032367,Milton Dover,\N,\N,tt8727430
nm10032778,Surya Nandan,\N,\N,tt8809368
nm10032787,Prithvi Dheeraj Reddy,\N,\N,tt8809368
nm10032846,Katy Stokes,\N,\N,tt8809544
nm10032971,Daphne Menard,\N,\N,tt9230266
nm10033039,Noah Zielinski,\N,\N,tt8310674
nm10033043,Noah Zielinksi,\N,\N,tt8310674
nm10033365,Yasmijn Nicolle,\N,\N,tt8810568
nm10033380,Shubert Bastien,\N,\N,tt8810198
nm10033818,J.R. Richardson,\N,\N,tt8810802
nm10033820,Pam Bassett,\N,\N,tt8810802
nm10033821,Andre Dupre,\N,\N,tt8810802
nm10033822,David Mandala,\N,\N,tt8810802
nm10033823,David Neff,\N,\N,tt8810802
nm10033824,Brittany Anderson,\N,\N,tt8810802
nm10033846,Christopher Langston,\N,\N,tt8810830
nm10033923,Frances Marron,\N,\N,tt8319290
nm10033951,Sreeleela,\N,\N,tt8810990
nm10034387,Johnn Roberts,\N,\N,tt8629954
nm10034581,Graceyn Arkinstall,\N,\N,tt7209472
nm10035243,Anthony Archer,\N,\N,tt8793194
nm10035558,Scott Metcalfe,\N,\N,tt8815174
nm10035660,Divan Meyer,\N,\N,tt8110640
nm10035662,Phillip Iweriebor,\N,\N,tt8192212
nm10035744,Tsi Shaffer,\N,\N,tt8816202
nm10035816,Edward Imray,\N,\N,tt8820528
nm10035900,Vee Bhakta,\N,\N,tt3580748
nm10036568,Carrie King,\N,\N,tt8938002
nm10036897,Kervin Soobrayen,\N,\N,tt8818842
nm10037595,Nathan Chandler Reid,\N,\N,tt8745960
nm10038455,Natalie Valerio,\N,\N,tt8821158
nm10038597,Fili Michel,\N,\N,tt8821342
nm10038617,Brayden Fitzpatrick,\N,\N,tt8827190
nm10039022,Eyad Birouty,\N,\N,tt9036952
nm10039204,Monica Nakkeeran,\N,\N,tt8822758
nm10039740,Sammy Murrell,\N,\N,tt8870370
nm10039765,Josh Brown,\N,\N,tt8824602
nm10039772,Bryan Gilbert,\N,\N,tt8824602
nm10039806,Jeff Grennell,\N,\N,tt8941980
nm10039913,Irina Ferazzi,\N,\N,tt8901200
nm10040220,Iris Nicole De Riz,\N,\N,tt8825108
nm10040221,Hannah Seelenbinder,\N,\N,tt8825108
nm10040222,Frida Mira,\N,\N,tt8825108
nm10040390,José Alfredo Fernandez,\N,\N,tt8416494
nm10040535,Paul Steiner,\N,\N,tt8822758
nm10041175,Kasey Vincent,\N,\N,tt8746570
nm10041521,Isaq Opio,\N,\N,tt8827190
nm10041522,Tracy Lloyd,\N,\N,tt8827190
nm10041523,Karitti Reddi,\N,\N,tt8827190
nm10041524,Cleone Mackenzie,\N,\N,tt8827190
nm10041525,Shaanan Lloyd,\N,\N,tt8827190
nm10041526,Joel Thalmann,\N,\N,tt8827190
nm10041700,Sophia Baker,\N,\N,tt8828316
nm10041708,Ged Maybury,\N,\N,tt7209472
nm10041711,Jessica Berry,\N,\N,tt7209472
nm10041871,Julian Rayray,\N,\N,tt5096928
nm10041882,Dionnae Maree Ford,\N,\N,tt7957694
nm10042286,Zhang Lang,\N,\N,tt8883486
nm10043206,Silvia Richter,\N,\N,tt7706034
nm10043207,Erika Flogaus,\N,\N,tt7706034
nm10043370,Dan Marotte,\N,\N,tt8408306
nm10043650,Henry DelBello,\N,\N,tt8816914
nm10044135,Mario Carneiro,\N,\N,tt8834580
nm10044354,Jackie David Harris,\N,\N,tt8155288
nm10046248,Alejandro Mayen,\N,\N,tt8310674
nm10046817,Oce Permatasari,\N,\N,tt9091638
nm10048136,Joseba Maiza,\N,\N,tt6704898
nm10048721,Krystal Hall,\N,\N,tt8192212
nm10048957,Zaida Lynch Newton,\N,\N,tt7737434
nm10049445,Catherine Clifton,\N,\N,tt1074206
nm10049457,Linzy Clifton,\N,\N,tt4463894
nm10049478,Paul J. Lucero,\N,\N,tt8820136
nm10049540,Eric Davis,\N,\N,tt7734218
nm10051116,Tommy Jacobs,\N,\N,tt8059402
